Mountain Name	Area Name	Elevation	Prominence
Carrauntoohil	MacGillycuddy's Reeks	1038.6	1038
Beenkeragh	MacGillycuddy's Reeks	1008.2	90
Caher	MacGillycuddy's Reeks	1000	99
Knocknapeasta	MacGillycuddy's Reeks	988	253
Caher West Top	MacGillycuddy's Reeks	973.4	24
Maolan Bui	MacGillycuddy's Reeks	973	38
Cnoc an Chuillinn	MacGillycuddy's Reeks	958	53
The Bones Peak	MacGillycuddy's Reeks	956.5	37
Brandon	Brandon Group	951.7	934
The Big Gun	MacGillycuddy's Reeks	939	74
Cruach Mhor	MacGillycuddy's Reeks	932	34
Cnoc an Chuillinn East Top	MacGillycuddy's Reeks	926	21
Lugnaquilla	"Dublin/Wicklow, Wicklow Mountains"	925	905
Galtymore	Galty Mountains	917.9	897
Brandon North Top	Brandon Group	895.4	23
Knockbrinnea (W)	MacGillycuddy's Reeks	854	29
Stumpa Bharr na hAbhann	MacGillycuddy's Reeks	852.1	23
Baurtregaum	Slieve Mish	851	643
Slieve Donard	Mourne Mountains	850	822
Mullaghcleevaun	"Dublin/Wicklow, Wicklow Mountains"	849	374
Skregmore	MacGillycuddy's Reeks	847.7	50
Knockbrinnea (E)	MacGillycuddy's Reeks	847	22
Cnoc na Toinne	MacGillycuddy's Reeks	845	80
Brandon Far North Top	Brandon Group	840.1	17
Brandon Peak	Brandon Group	840	190
Mangerton	Mangerton	838.2	583
Caherconree	Slieve Mish	835	129
Purple Mountain	Purple Mountain	832	597
Beenoskee	Central Dingle	826	491
Lyracappul	Galty Mountains	825.3	100
Carrignabinnia	Galty Mountains	822.9	26
Benagh	Brandon Group	822	57
Baurtregaum NE Top	Slieve Mish	819	14
Tonelagee	"Dublin/Wicklow, Wicklow Mountains"	817	202
Mweelrea	Mweelrea Mountains	814	779
Faha Ridge	Brandon Group	809	44
Nephin	North Mayo	806	778
Ben Lugmore	Mweelrea Mountains	803	158
Gearhane	Brandon Group	803	25
Greenane	Galty Mountains	801.3	157
Cloghernagh	"Dublin/Wicklow, Wicklow Mountains"	800	15
Galtybeg	Galty Mountains	799.2	80
Stradbally Mountain	Central Dingle	798	40
Ben Bury	Mweelrea Mountains	795	60
Mount Leinster	Blackstairs Mountains	794.4	706
Corrigasleggaun	"Dublin/Wicklow, Wicklow Mountains"	794	49
Knockmealdown	Knockmealdown Mountains	792.4	682
Gearhane	Slieve Mish	792	17
Fauscoum	Comeragh Mountains	792	626
Ben Lugmore West Top	Mweelrea Mountains	790	47
Ben Lugmore East Top	Mweelrea Mountains	790	37
Brandon South Top	Brandon Group	790	25
Mullaghcleevaun East Top	"Dublin/Wicklow, Wicklow Mountains"	790	45
Greenane West	Galty Mountains	787	39
Stumpa Duloigh	Dunkerron Mountains	784	499
Temple Hill	Galty Mountains	783.1	188
Mangerton North Top	Mangerton	782	67
Stumpa Duloigh SE Top	Dunkerron Mountains	780	15
Slievecushnabinnia	Galty Mountains	774.8	28
Mullaghanattin	Dunkerron Mountains	773	528
Coomacarrea	Glenbeigh Horseshoe	772	457
Barrclashcame	Sheeffry Hills	772	707
Knockmoylan	Knockmealdown Mountains	767.1	35
Slieve Commedagh	Mourne Mountains	767	180
Carrignagower	Comeragh Mountains	767	24
Croagh Patrick	Croagh Patrick	764	639
Tievummera	Sheeffry Hills	762	37
Shehy Mountain	Purple Mountain	762	47
Masatiompan	Brandon Group	761.9	109
Teeromoyle Mountain	Glenbeigh Horseshoe	760	25
Slievemaan	"Dublin/Wicklow, Wicklow Mountains"	759	54
Camenabologue	"Dublin/Wicklow, Wicklow Mountains"	758	133
Kippure	"Dublin/Wicklow, Dublin Mountains"	757	262
Purple Mountain NE Top	Purple Mountain	757	35
Knockanaffrin	Comeragh Mountains	755	289
Beann	Dunkerron Mountains	752	166
Errigal	"Donegal NW, Derryveagh Mountains"	751	688
Fauscoum North-West Top	Comeragh Mountains	750.1	13
Cnoc Iochtair	MacGillycuddy's Reeks	746.3	43
Slieve Binnian	Mourne Mountains	745.9	281
Pierasmore	Brandon Group	745.7	32
Broaghnabinnia	Dunkerron Mountains	745	290
Tievnabinnia	Sheeffry Hills	742	37
Coumfea	Comeragh Mountains	741.9	69
Slieve Bearnagh	Mourne Mountains	739	304
Tomies Mountain	Purple Mountain	735	60
Conavalla	"Dublin/Wicklow, Wicklow Mountains"	734	109
Blackstairs Mountain	Blackstairs Mountains	732.1	540
Cnoc an Bhraca	MacGillycuddy's Reeks	731	96
Benbaun	Twelve Bens	729	684
Coumfea North Top	Comeragh Mountains	728.3	25
Seefin	"Comeragh Mountains, Monavullagh Mountains"	726	71
Djouce	"Dublin/Wicklow, Wicklow Mountains"	725	200
Knockaunapeebra	Comeragh Mountains	724.4	16
Baurtregaum NW Top	Slieve Mish	723	18
Seefingan	"Dublin/Wicklow, Dublin Mountains"	722.9	97
Slieve Carr	"North Mayo, Nephin Beg Range"	721	646
Slievenamon	"South Midlands, Slievenamon"	720.2	711
Duff Hill	"Dublin/Wicklow, Wicklow Mountains"	720	65
Gravale	"Dublin/Wicklow, Wicklow Mountains"	718	123
Corranabinnia	"North Mayo, Nephin Beg Range"	716	541
Meenteog	Glenbeigh Horseshoe	715	110
Stoney Top	"Dublin/Wicklow, Wicklow Mountains"	714	19
Bencorr	Twelve Bens	711	306
Coumfea West Top	Comeragh Mountains	711	16
Knockboy	Shehy/Knockboy	706	685
Stoompa	Mangerton	705	90
